Benchmark	Advice#	Advice	Pattern	Size	Precision	Concreteness
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, StandardDrawingView.selection()]	1	0.35714285714285715	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, IteratorWrapper.next()]	2	0.03608247422680412	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureEnumerator.hasNextFigure()]	1	0.05217391304347826	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, sets_field, SingleFigureEnumerator.mySingleFigure]	2	0.04424778761061947	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Iterator.next()]	2	0.03608247422680412	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureEnumeration.nextFigure()]	1	0.045454545454545456	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, DrawingView.selection()]	1	0.45454545454545453	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureAndEnumerator.nextFigure()]	1	0.045454545454545456	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, IteratorWrapper.hasNext()]	2	0.04	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureAndEnumerator.hasNextFigure()]	1	0.043859649122807015	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, overrides, FigureEnumeration.nextFigure()]	2	0.045454545454545456	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, SingleFigureEnumerator.nextFigure()]	1	0.045454545454545456	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, ReverseListEnumerator.hasNext()]	2	0.04	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, SingleFigureEnumerator.hasNextFigure()]	1	0.043859649122807015	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureEnumeration.hasNextFigure()]	1	0.043859649122807015	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, ReverseListEnumerator.next()]	2	0.03608247422680412	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, FigureEnumerator.myIterator]	2	0.043478260869565216	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureEnumerator.getEmptyEnumeration()]	2	0.15151515151515152	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureAndEnumerator.hasNextFigure(), calls, ?]	2	0.017543859649122806	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ReverseFigureEnumerator.nextFigure()]	1	0.045454545454545456	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, Drawing.bringToFront(Figure;)]	1	0.5	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ReverseFigureEnumerator.hasNextFigure()]	1	0.043859649122807015	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureEnumerator.nextFigure()]	1	0.045454545454545456	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, InsertImageCommand$UndoActivity.insertImage()]	1	0.5	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DrawingView.add(Figure;)]	2	0.125	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, InsertImageCommand$UndoActivity.getImageFigure()]	2	0.6666666666666666	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.add(Figure;)]	2	0.1	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, NullDrawingView.add(Figure;)]	2	0.1	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, UndoableAdapter.getDrawingView()]	2	0.06779661016949153	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, NullFigure.figures()]	2	0.09090909090909091	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, CompositeFigure.figures()]	2	0.026785714285714284	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Figure.figures()]	2	0.125	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.selectionCount()]	2	0.0625	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, NullFigure.invalidate()]	2	0.031578947368421054	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, NullDrawingView.addToSelectionAll(FigureEnumeration;)]	2	0.2727272727272727	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawing.orphan(Figure;)]	2	0.23076923076923078	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, NullDrawingView.clearSelection()]	1	0.07894736842105263	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DrawingView.addToSelectionAll(FigureEnumeration;)]	2	0.2727272727272727	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, sets_field, StandardDrawingView.fSelectionHandles]	2	0.06818181818181818	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, CollectionsFactory.current()]	2	0.035	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Figure.invalidate()]	2	0.07142857142857142	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.addToSelectionAll(Collection;)]	2	0.2727272727272727	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, overrides, DrawingView.clearSelection()]	2	0.07692307692307693	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, AbstractFigure.figures()]	2	0.09090909090909091	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, DrawingView.clearSelection()]	1	0.07894736842105263	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Drawing.addAll(FigureEnumeration;)]	2	0.6666666666666666	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Drawing.orphan(Figure;)]	2	0.3	0.3333333333333333	
